go .	va !
we lost .	nous avons été défaites .
we lost .	nous avons été battus .
we lost .	nous avons été battues .
welcome .	bienvenue !
who won ?	qui a gagné ?
who won ?	qui l'a emporté ?
you run .	tu cours .
am i fat ?	suis-je gros ?
am i fat ?	suis-je grosse ?
ask them .	demande-leur .
ask them .	demandez-leur .
back off !	recule  !
back off !	reculez .
back off .	recule  !
back off .	reculez .
back off .	retire-toi  !
back off .	retirez-vous .
be a man .	sois un homme !
be a man .	soyez un homme !
be still .	sois calme !
be still .	soyez calme !
be still .	soyez calmes !
beats me .	aucune idée .
beats me .	j'en sais foutre rien .
call tom .	appelle tom .
call tom .	appelez tom .
cheer up !	courage !
cool off !	détends-toi !
cuff him .	menottez-le .
drive on .	avance !
drive on .	avancez !
drive on .	continue à rouler !
drive on .	continuez à rouler !
find tom .	trouve tom .
find tom .	trouvez tom .
fix this .	réparez ceci .
fix this .	répare ça .
get down !	lâche-toi !
get down .	descends !
get down .	descendez !
get down .	lâche-toi !
get down .	lâchez-vous !
get lost !	va voir ailleurs si j'y suis !
get lost !	dégage !
get lost !	va au diable !
get real !	sois réaliste !
go ahead .	vas-y .
go ahead .	poursuis !
go ahead .	passe devant !
go ahead .	vas-y !
good job !	bien joué !
good job !	bon boulot !
good job !	beau travail !
grab him .	attrape-le .
grab him .	attrapez-le .
have fun .	amuse-toi bien !
have fun .	amusez-vous bien !
he tries .	il essaye .
he's wet .	il est mouillé .
help tom .	aide tom .
help tom .	aidez tom .
hi , guys .	salut , les mecs !
how cute !	comme c'est mignon !
how deep ?	quelle profondeur ?
how nice !	comme c'est chouette !
how nice !	comme c'est gentil !
how nice !	c'est du joli !
how nice !	comme c'est agréable !
humor me .	fais-moi rire .
hurry up .	dépêche-toi .
hurry up .	grouille !
hurry up .	pressez-vous !
hurry up .	fiça !
i am fat .	je suis gras .
i did ok .	je m'en suis bien sorti .
i did ok .	je m'en suis bien sortie .
i did it .	je l'ai fait .
i did it .	c'est moi qui l'ai fait .
i failed .	j'ai échoué .
i forgot .	j'ai oublié .
i get it .	j'ai compris .
i got it .	j'ai compris .
i got it .	j'ai capté .
i helped .	j'ai aidé .
i jumped .	j'ai sauté .
i looked .	j’ai regardé .
i moaned .	j’ai râlé .
i nodded .	j’ai fait signe de la tête .
i obeyed .	j’ai obéi .
i phoned .	je téléphonai .
i phoned .	j'ai téléphoné .
i refuse .	je refuse .
i refuse .	je le refuse .
i rested .	je me suis reposé .
i rested .	je me suis reposée .
i saw it .	je l'ai vu .
i saw it .	je l’ai vu .
i sighed .	j’ai soupiré .
i stayed .	je suis resté .
i stayed .	je suis restée .
i talked .	j’ai parlé .
i use it .	je l'utilise .
i use it .	j'en fais usage .
i use it .	je m'en sers .
i'll pay .	je paierai .
i'll try .	je vais essayer .
i'll try .	j'essaierai .
i'm back .	je suis revenu .
i'm back .	me revoilà .
i'm bald .	je suis chauve .
i'm busy .	je suis occupé .
i'm busy .	je suis occupée .
i'm calm .	je suis calme .
i'm cold .	j'ai froid .
i'm cool .	je suis détendu .
i'm cool .	je suis détendue .
i'm deaf .	je suis sourd .
i'm deaf .	je suis sourde .
i'm done .	j'en ai fini .
i'm fair .	je suis juste .
i'm fair .	j'ai la peau claire .
i'm fair .	j'ai le teint clair .
i'm fast .	je suis rapide .
i'm fine .	tout va bien .
i'm fine .	je vais bien .
i'm fine .	ça va .
i'm free !	je suis libre !
i'm free .	je suis libre .
i'm free .	je suis disponible .
i'm full .	je suis repu !
i'm full .	je suis rassasié !
i'm game .	j'en suis .
i'm game .	je suis de la partie .
i'm glad .	je suis content .
i'm home .	je suis chez moi .
i'm late .	je suis en retard .
i'm lazy .	je suis paresseux .
i'm lazy .	je suis fainéant .
i'm lazy .	je suis paresseuse .
i'm lazy .	je suis fainéante .
i'm okay .	je vais bien .
i'm okay .	je me porte bien .
i'm rich .	je suis riche .
i'm safe .	je suis en sécurité .
i'm sick .	je suis malade .
i'm sure .	j'en suis certain .
i'm sure .	je suis certain .
i'm sure .	j'en suis sûr .
i'm sure .	j'en suis sûre .
i'm tall .	je suis grande .
i'm thin .	je suis mince .
i'm tidy .	je suis ordonné .
i'm tidy .	je suis ordonnée .
i'm ugly .	je suis laid .
i'm ugly .	je suis laide .
i'm weak .	je suis faible .
i'm well .	je vais bien .
i'm well .	je me porte bien .
i've won .	j'ai gagné .
i've won .	je l'ai emporté .
it helps .	ça aide .
it hurts .	ça fait mal .
it works .	elle marche .
it works .	ça fonctionne .
it's tom .	c'est tom .
it's fun .	c'est marrant .
it's fun .	c'est rigolo .
it's his .	c'est le sien .
it's his .	c'est la sienne .
it's new .	c'est nouveau .
it's new .	c'est neuf .
it's odd .	c'est bizarre .
it's red .	il est rouge .
it's sad .	c’est triste .
keep out !	défense d'entrer .
keep out .	n'entrez pas .
kiss tom .	embrasse tom .
leave it .	laisse tomber !
leave it .	laissez tomber !
leave me .	laissez-moi !
leave us .	laisse-nous !
leave us .	laissez-nous !
let's go !	allons-y !
let's go .	allons-y !
look out !	attention !
look out !	regarde donc !
marry me .	épouse-moi !
marry me .	épousez-moi !
may i go ?	puis-je partir ?
may i go ?	puis-je y aller ?
may i go ?	puis-je m'y rendre ?
save tom .	sauve tom .
save tom .	sauvez tom .
she came .	elle est venue .
she died .	elle est morte .
she runs .	elle court .
sit down !	assieds-toi !
sit down !	asseyez-vous !
sit down .	assieds-toi .
sit here .	assieds-toi ici .
sit here .	asseyez-vous ici .
speak up !	parle plus fort !
speak up !	parlez plus fort !
stop tom .	arrête tom .
stop tom .	stoppez tom .
taste it .	goûte-le .
taste it .	goûte-la .
taste it .	goûtez-le .
taste it .	goûtez-la .
tell tom .	dis-le à tom .
tell tom .	informez-en tom .
terrific !	génial !
terrific !	excellent !
terrific !	formidable !
they won .	ils gagnèrent .
they won .	elles gagnèrent .
they won .	ils ont gagné .
they won .	elles ont gagné .
tom came .	tom est venu .
tom died .	tom est mort .
tom died .	tom muera .
tom knew .	tom savait .
tom left .	tom est parti .
tom left .	tom partit .
tom lied .	tom a menti .
tom lies .	tom ment .
tom lost .	tom a perdu .
tom paid .	tom a payé .
too late .	trop tard .
trust me .	faites-moi confiance .
trust me .	fais-moi confiance .
try hard .	fais un effort .
try some .	essaies-en !
try some .	essayez-en !
try this .	essaie ceci !
try this .	essayez ceci !
use this .	utilise ceci .
use this .	utilisez ceci .
use this .	emploie ceci !
use this .	employez ceci !
warn tom .	avertis tom .
warn tom .	préviens tom .
watch me .	regarde-moi !
watch me .	regardez-moi !
watch us .	regardez-nous !
watch us .	regarde-nous !
we agree .	nous sommes d'accord .
we'll go .	nous irons .
what for ?	pour quoi faire ?
what for ?	à quoi bon ?
what fun !	qu'est-ce qu'on s'est marrés !
what fun !	qu'est-ce qu'on s'est marrées !
who came ?	qui est venu ?
who died ?	qui est mort ?
who fell ?	qui est tombé ?
who quit ?	qui démissionne ?
who's he ?	qui est-il ?
write me .	écris-moi !
write me .	écrivez-moi !
you lost .	tu as perdu .
you lost .	vous avez perdu .
after you .	après vous .
aim . fire !	en joue ! feu !
am i late ?	suis-je en retard ?
answer me .	répondez-moi .
be seated .	assieds-toi !
be seated .	asseyez-vous !
birds fly .	les oiseaux volent .
bless you .	à tes souhaits !
call home !	appelle à la maison !
calm down !	calmez-vous !
calm down .	calme-toi .
can we go ?	pouvons-nous partir ?
can we go ?	pouvons-nous nous en aller ?
can we go ?	pouvons-nous y aller ?
catch tom .	attrape tom .
catch tom .	attrapez tom .
catch him .	rattrape-le .
come back .	reviens !
come back .	revenez !
come here .	viens ici .
come here .	venez là .
come over !	viens !
come over !	venez !
come over .	venez ici !
come over .	viens chez nous !
come over .	venez chez nous !
come over .	viens chez moi !
come over .	venez chez moi !
come soon .	viens bientôt !
come soon .	venez bientôt !
cool down .	calmez-vous !
did i win ?	ai-je gagné ?
did i win ?	l'ai-je emporté ?
did i win ?	est-ce moi qui ai gagné ?
do it now .	faites-le maintenant .
dogs bark .	des chiens aboient .
dogs bark .	les chiens aboient .
don't ask .	ne demande pas !
don't cry .	ne pleure pas !
don't die .	ne meurs pas !
don't die .	ne mourez pas !
don't lie .	ne mens pas .
don't run .	ne courez pas .
don't run .	ne cours pas .
excuse me .	excuse-moi .
excuse me .	excusez-moi .
fantastic !	fantastique !
feel this .	sens ça !
feel this .	sentez ça !
feel this .	touche ça !
feel this .	touchez ça !
follow me .	suis-moi .
follow us .	suis-nous !
follow us .	suivez-nous !
forget it !	oublie !
forget it !	oublie-le !
forget it !	oubliez !
forget it !	oubliez-le !
forget it .	laisse tomber .
forget it .	oublie .
forget it .	oublie-le !
get a job .	trouve un emploi !
get a job .	trouve un boulot !
get a job .	trouvez un emploi !
get a job .	trouvez un boulot !
get ready .	prépare-toi .
get ready .	préparez-vous .
go get it .	va le chercher !
go get it .	allez le chercher !
go inside .	entrez !
go to bed .	va au lit !
go to bed .	allez au lit !
good luck .	bonne chance !
good luck .	bonne chance .
grab that .	attrape ça !
grab that .	attrapez ça !
grab that .	saisis-toi de ça !
grab that .	saisissez-vous de ça !
grab this .	attrape ça !
grab this .	attrapez ça !
hands off .	pas touche !
he is ill .	il est malade .
he is old .	il est vieux .
he's a dj .	il est dj .
he's good .	il est bon .
he's lazy .	il est paresseux .
he's rich .	il est riche .
he's sexy .	il est sexy .
here i am .	me voici .
here's $5 .	voilà cinq dollars .
hold fire .	halte au feu !
hold fire .	cessez le feu !
hold this .	tiens ça !
hold this .	tenez ça !
hold this .	tenez ceci !
hold this .	tiens ceci !
how awful !	c'est affreux !
how weird !	comme c'est bizarre !
how's tom ?	comment tom va-t-il ?
how's tom ?	comment va tom ?
i am busy .	je suis occupé .
i am calm .	je suis calme .
i am cold .	j'ai froid .
i am fine .	je vais bien .
i am good .	je suis bon .
i am here .	je suis ici .
i am lazy .	je suis paresseux .
i am lazy .	je suis fainéant .
i am lazy .	je suis paresseuse .
i am lazy .	je suis fainéante .
i am okay .	je vais bien .
i am sick .	je suis malade .
i am sure .	je suis sûr .
i am sure .	je suis certain .
i am weak .	je suis faible .
i beg you .	je vous en prie .
i beg you .	je vous en conjure .
i beg you .	je vous en supplie .
i beg you .	je te prie .
i can run .	je sais courir .
i can ski .	je sais skier .
i cringed .	j'eus un mouvement de recul .
i cringed .	j'ai eu un mouvement de recul .
i cringed .	je suis rentré en moi-même .
i exhaled .	j’ai expiré .
i gave up .	j'ai abandonné .
i give in .	je donne ma langue au chat .
i give up .	j'abandonne .
i got hot .	je me suis mis à avoir chaud .
i got hot .	je me suis mise à avoir chaud .
i had fun .	je me suis amusé .
i had fun .	je me suis amusée .
i had fun .	je me suis marré .
i had fun .	je me suis marrée .
i hate it .	je déteste ça .
i have it .	je l'ai .
i hit tom .	j'ai frappé tom .
i hope so .	j'espère bien .
i hurried .	je me suis dépêché .
i hurried .	je me suis dépêchée .
i inhaled .	j’ai inspiré .
i knew it .	je le savais .
i like it .	j'aime ça .
i lost it .	je l’ai perdu .
i love it !	j'adore ça !
i love it .	j'adore ça !
i mean it !	je suis sérieux !
i mean it .	je suis sérieux .
i must go .	je dois y aller .
i must go .	il faut que j'y aille .
i must go .	il me faut y aller .
i must go .	il me faut partir .
i must go .	il me faut m'en aller .
i must go .	je dois partir .
i must go .	je dois m'en aller .
i must go .	il faut que je m'en aille .
i need it .	j'en ai besoin .
i need it .	il me le faut .
i noticed .	j'ai remarqué .
i prepaid .	j'ai payé d'avance .
i promise .	je le promets .
i relaxed .	je me suis détendu .
i relaxed .	je me suis détendue .
i retired .	j'ai pris ma retraite .
i said no .	j'ai dit non .
i said so .	je l'ai dit .
i saw him .	je l'ai vu .
i saw him .	je l’ai vu .
i saw him .	je le vis .
i saw one .	j'en ai vu une .
i saw one .	j'en ai vu un .
i saw you .	je vous vis .
i saw you .	je te vis .
i saw you .	je t'ai vue .
i saw you .	je t'ai vu .
i saw you .	je vous ai vues .
i saw you .	je vous ai vus .
i saw you .	je vous ai vue .
i saw you .	je vous ai vu .
i see tom .	je vois tom .
i shouted .	j'ai crié .
i tripped .	j'ai trébuché .
i tripped .	j'ai plané .
i want it .	je le veux .
i was new .	j'étais nouveau .
i was new .	j'étais nouvelle .
i will go .	j'irai .
i woke up .	je me suis réveillé .
i woke up .	je me suis éveillé .
i'd agree .	je serais d'accord .
i'd leave .	je partirais .
i'll call .	j'appellerai .
i'll cook .	je cuisinerai .
i'll help .	j'aiderai .
i'll live .	je vivrai .
i'll obey .	j'obéirai .
i'll pack .	je ferai mon sac .
i'll pack .	je ferai ma valise .
i'll pack .	je plierai mes gaules .
i'll pass .	je passerai .
i'll quit .	j'abandonnerai .
i'll sing .	je chanterai .
i'll stop .	j'arrêterai .
i'll swim .	je nagerai .
i'll talk .	je parlerai .
i'll talk .	je vais parler .
i'll wait .	j'attendrai .
i'll walk .	je marcherai .
i'll work .	je vais travailler .
i'll work .	je travaillerai .
i'm a cop .	je suis flic .
i'm a man .	je suis un homme .
i'm alive .	je suis en vie .
i'm alive .	je suis vivant .
i'm alive .	je suis vivante .
i'm alone .	je suis seule .
i'm alone .	je suis seul .
i'm angry .	je suis énervé .
i'm angry .	je suis en colère .
i'm armed .	je suis armé .
i'm armed .	je suis armée .
i'm awake .	je suis réveillé .
i'm blind .	je suis aveugle .
i'm broke .	je suis fauché .
i'm clean .	j'ai décroché .
i'm clean .	je suis propre .
i'm crazy .	je suis fou .
i'm crazy .	je suis folle .
i'm cured .	je suis guéri .
i'm cured .	je suis guérie .
i'm dizzy .	j'ai la tête qui tourne .
i'm drunk .	je suis saoul .
i'm drunk .	je suis soûl .
i'm drunk .	je suis ivre .
i'm dying .	je me meurs .
i'm early .	je suis en avance .
i'm first .	je suis en premier .
i'm fussy .	je suis difficile .
i'm fussy .	je suis tatillon .
i'm fussy .	je suis tatillonne .
i'm going .	je pars maintenant .
i'm going .	je me tire .
i'm going .	j’y vais .
i'm going .	je pars .
i'm loyal .	je suis loyal .
i'm loyal .	je suis loyale .
i'm lucky .	je suis veinard .
i'm lucky .	je suis veinarde .
i'm lucky .	j'ai du pot .
i'm lucky .	je suis chanceux .
i'm lucky .	je suis chanceuse .
i'm lying .	je suis en train de mentir .
i'm naked .	je suis nu .
i'm naked .	je suis nue .
i'm naked .	je me trouve nu .
i'm naked .	je me trouve nue .
i'm naked .	je suis à poil .
i'm quiet .	je suis tranquille .
i'm ready !	je suis prête !
i'm ready !	je suis prêt !
i'm ready .	je suis prêt .
i'm right .	j'ai raison .
i'm sober .	je suis sobre .
i'm sorry .	excuse-moi .
i'm sorry .	désolé .
i'm sorry .	excusez-moi .
i'm sorry .	désolé !
i'm sorry .	je suis désolé .
i'm sorry .	je suis désolée .
i'm stuck .	je suis coincée .
i'm timid .	je suis timide .
i'm tired .	je suis fatigué !
i'm tough .	je suis dur .
i'm tough .	je suis dure .
i'm tough .	je suis dur à cuire .
i'm tough .	je suis dure à cuire .
i'm yours .	je suis à toi .
i'm yours .	je suis à vous .
i've lost .	j'ai perdu .
is tom ok ?	est-ce que tom va bien ?
is tom ok ?	tom va-t-il bien ?
is it bad ?	c'est grave ?
is it far ?	est-ce éloigné ?
is it far ?	est-ce loin ?
is it hot ?	est-ce chaud ?
is it you ?	est-ce toi ?
is it you ?	est-ce vous ?
is it you ?	est-ce que c'est vous ?
it failed .	ça a échoué .
it is new .	c'est nouveau .
it is new .	c'est neuf .
it snowed .	il a neigé .
it stinks .	ça sent mauvais .
it stinks .	ça pue .
it was ok .	c'était bon .
it was ok .	c'était correct .
it was ok .	c'était ok .
it worked .	ça a fonctionné .
it worked .	ça a marché .
it's 3:30 .	il est trois heures et demie .
it's 8:30 .	il est huit heures trente .
it's 8:30 .	il est 8 h 30 .
it's a tv .	c'est une télé .
it's cold .	il fait froid .
it's cold .	c'est froid .
it's dark .	c'est sombre .
it's dead .	elle est morte .
it's dead .	c'est mort .
it's dead .	il est mort .
it's done .	c'est fait .
it's easy .	c'est simple .
it's food .	c'est de la nourriture .
it's free .	c'est gratuit .
it's here .	elle est ici .
it's here .	c'est ici .
it's hers .	c'est le sien .
it's hers .	c'est la sienne .
it's late .	il est tard .
it's lost .	c'est perdu .
it's mine .	c'est le mien .
it's mine .	c'est la mienne .
it's mine .	c'est à moi .
it's mine .	il s'agit du mien .
it's open .	c'est ouvert .
it's ours .	c'est le nôtre .
it's ours .	c'est la nôtre .
it's ours .	c'est à nous .
it's sand .	c'est du sable .
it's time .	il est temps !
it's time .	c'est l'heure .
it's true !	c'est vrai !
it's work .	c'est du boulot .
keep that .	garde ça .
keep that .	gardez cela .
keep this .	garde ça .
keep this .	gardez ceci .
let it be .	ainsi soit-il .
let it be .	laisse faire .
let me go !	laisse-moi partir !
let me go !	laissez-moi partir !
let me go !	lâche-moi !
let me go !	lâchez-moi !
let me go !	laisse-moi m'en aller !
let me go !	laissez-moi m'en aller !
let me go !	laissez-moi y aller !
let me go !	laisse-moi y aller !
let me go .	laisse-moi partir !
let me go .	laissez-moi partir !
let me go .	laisse-moi m'en aller !
let me go .	laissez-moi m'en aller !
let me in .	laissez-moi rentrer .
let me in .	laissez-moi entrer .
let's ask .	demandons .
let's eat .	mangeons .
let's see .	voyons voir !
lie still .	reste allongé , immobile !
lie still .	reste allongée , immobile !
lie still .	restez allongé , immobile !
lie still .	restez allongée , immobile !
lie still .	restez allongés , immobiles !
lie still .	restez allongées , immobiles !
look back !	regarde derrière toi !
look back !	regarde derrière !
look here .	regarde ici .
look here .	regardez ici .
loosen up .	échauffe-toi !
loosen up .	échauffez-vous !
loosen up .	détends-toi !
loosen up .	laisse-toi aller !
loosen up .	laissez-vous aller !
move over .	bouge de là .
move over .	poussez-vous .
move over .	pousse-toi .
nice shot !	joli coup !
of course !	pour sûr .
of course !	mais ouais !
of course !	pardi !
of course .	bien sûr .
of course .	pour sûr .
oh please !	je vous en prie !
oh please !	je t'en prie !
pardon me ?	pardon ?
pardon me ?	je vous demande pardon ?
pardon me ?	plaît-il ?
read this .	lis ceci .
say hello .	dis bonjour .
see above .	voyez ci-dessus .
see below .	voyez ci-dessous .
see below .	voir ci-dessous .
seize him !	capturez-le !
seize him !	attrapez-le !
seriously ?	vraiment ?
seriously ?	est-ce sérieux ?
seriously ?	sérieusement ?
she cried .	elle pleurait .
she cried .	elle pleura .
she tried .	elle a essayé .
she walks .	elle marche .
she's hot .	elle est chaude .
she's hot .	elle est très attirante .
sign here .	signe ici .
sign here .	signez ici .
sign this .	signe ça .
sign this .	signez ceci .
slow down .	ralentis !
slow down .	ralentissez !
stay back .	reste en arrière !
stay back .	restez en arrière !
stay calm .	restez calme .
stay calm .	reste calme .
stay calm .	garde ton calme .
stay calm .	garde ton sang-froid .
stay calm .	reste tranquille .
stay down !	reste baissé .
stay down !	restez baissé .
stay down .	reste baissé .
stay down .	restez baissé .
stay here .	restez là !
stay here .	reste ici !
stay here .	restez ici .
stay thin .	reste mince !
step back .	recule  !
step back .	reculez  !
stop that !	arrêtez !
stop that .	arrêtez ça !
stop that .	arrête ça !
stop them .	arrêtez-les .
take care !	prends soin de toi !
take care !	soyez prudente !
take care .	prends soin de toi .
take care .	prenez soin de vous .
take mine .	prends le mien .
take mine .	prends la mienne .
take mine .	prenez le mien .
take mine .	prenez la mienne .
take mine .	prends les miens .
take mine .	prends les miennes .
take mine .	prenez les miens .
take mine .	prenez les miennes .
take this .	prends ça .
take this .	prenez ça .
thank you .	merci !
that's ok .	il n'y a pas de problème .
that's ok .	pas de problème .
that's ok .	ce n'est pas grave .
that's ok .	ça va .
that's it .	c'est ça .
they fell .	ils sont tombés .
they fell .	elles sont tombées .
they left .	ils sont partis .
they left .	elles sont parties .
they lied .	ils ont menti .
they lied .	elles ont menti .
they lost .	ils ont perdu .
they lost .	elles ont perdu .
they swam .	ils nageaient .
they swam .	elles nageaient .
they swam .	ils nagèrent .
they swam .	elles nagèrent .
time's up .	le temps est écoulé .
tom cooks .	tom cuisine .
tom cried .	tom pleura .
tom is ok .	tom va bien .
tom knits .	tom tricote .
tom knows .	tom sait .
tom rocks .	tom assure .
tom spoke .	tom a parlé .
tom walks .	tom marche .
tom waved .	tom a fait signe de la main .
tom works .	tom est en train de travailler .
tom's fat .	tom est gros .
tom's mad .	tom est en colère .
tom's mad .	tom est fou .
tom's sad .	tom est triste .
trust tom .	fais confiance à tom .
trust tom .	faites confiance à tom .
try again .	essaie encore .
try again .	essayez de nouveau .
try again .	essaie de nouveau .
try it on .	essaie-le  !
turn left .	tourne à gauche .
wait here .	attends ici .
wait here .	attends là .
wait here .	attendez ici .
wait here .	attendez là .
watch out !	attention !
watch out !	faites attention !
watch out !	fais attention !
we agreed .	nous sommes tombés d'accord .
we did it !	nous avons réussi !
we did it .	nous avons réussi !
we did it .	nous l'avons fait .
we forgot .	nous avons oublié .
we saw it .	nous l'avons vu .
we saw it .	nous l'avons vue .
we smiled .	nous avons souri .
we talked .	nous discutâmes .
we talked .	nous avons discuté .
we talked .	nous nous sommes entretenus .
we talked .	nous nous sommes entretenues .
we talked .	nous nous entretînmes .
we waited .	nous attendîmes .
we waited .	nous avons attendu .
we'll try .	nous essayerons .
we'll try .	nous tenterons .
we'll win .	nous l'emporterons .
we'll win .	nous gagnerons .
we're hot .	nous avons chaud .
we're sad .	nous sommes tristes .
we're shy .	nous sommes timides .
well done !	bien vu !
well done !	bien cuit !
well done !	à la bonne heure !
well done !	bien joué !
well done !	pas mal !
what else ?	quoi d’autre ?
what's up ?	ça va ?
what's up ?	quoi de beau ?
who cares ?	qui s'en préoccupe ?
who cares ?	qui s'en soucie ?
who cares ?	à qui ceci importe-t-il ?
who is he ?	qui est-ce ?
who is he ?	qui est-il ?
who is it ?	qui est-ce ?
who is it ?	qui est-il ?
who knows ?	qui sait ?
who spoke ?	qui a parlé ?
who'll go ?	qui ira ?
who's tom ?	c’est qui , tom ?
who's ill ?	qui est malade ?
wonderful !	magnifique !
wonderful !	à la bonne heure !
write tom .	écrivez à tom .
you drive .	tu conduis .
you drive .	toi , conduis !
you drive .	vous conduisez .
you idiot !	espèce d'imbécile !
you idiot !	espèce d'idiot !
you start .	tu commences .
you start .	vous commencez .
you tried .	tu as essayé .
you tried .	vous avez essayé .
all aboard !	tout le monde à bord !
am i clear ?	suis-je clair ?
am i clear ?	suis-je claire ?
am i dying ?	suis-je en train de mourir ?
am i dying ?	suis-je en train de trépasser ?
am i early ?	suis-je en avance ?
am i fired ?	vous me mettez à la porte ?
am i first ?	suis-je le premier ?
am i first ?	suis-je la première ?
am i hired ?	suis-je engagé ?
am i hired ?	suis-je engagée ?
am i right ?	ai-je raison ?
am i right ?	suis-je dans le vrai ?
am i wrong ?	me trompé-je ?
am i wrong ?	ai-je tort ?
